userName,score,content,at
Myo Jat Awng,5,👍📧UC,2025-03-25 17:33:09
Reena Yadav,5,best game in world 🌎,2025-03-25 17:31:24
Mk47 GAMING,5,its not a game its emotion,2025-03-25 17:30:10
Ali Raza,5,Game is best but something is wrong like lag problem and hang so i requested to pubg mobile team please fix its from all pubg players please,2025-03-25 17:28:44
John Player,5,good,2025-03-25 17:28:25
Geno Beegle,4,overall great game just wish the waits weren't so long sometimes. wish there was a slightly better quick scope feature for us who like sniping. but I think it's better and the firefight is better than c.o.d. I recommend,2025-03-25 17:27:51
crazy bacha,5,"i like pubg but the main reason for i does,t like pubg is that pubg mobile uc rates are too high 😡😡😡😡",2025-03-25 17:27:50
Ameer Hamza,5,The game☠️ Luv ❤️,2025-03-25 17:26:31
Fariha Naz,5,This my best game 🎮 wowwww and this my life 🥰🥰😍😍😍💓💓💓💓,2025-03-25 17:25:53
Qasim king No 1,5,good game,2025-03-25 17:25:11
Ezekiel Jed Oliver,5,SPONSORED ME HEHE,2025-03-25 17:24:58
john vereyaco,4,"Why is it that when we meet high level or popularity players our fone lags and becomes choppy.if the game could set three or 4 latency or fps that is compatible for everyone,and prevents people from seting there own.but overall it recommend people to play pug its the best mobile shooting game I ever played.",2025-03-25 17:21:32
Okoth Fobian,5,great,2025-03-25 17:21:01
Ahmed king,5,amazing game open the Realistic graphics best battle royal in the world 5 star ⭐️⭐️⭐️⭐️⭐️,2025-03-25 17:20:57
Abdul Jabar,1,PUBG Is good game but slow on low ram mobiles,2025-03-25 17:20:36
Mohsin Javed,5,Best game of my experience.i like so much this game,2025-03-25 17:20:29
Kalad Ameur,5,goooood,2025-03-25 17:19:38
Bhatti Dubai wala,5,nice game,2025-03-25 17:19:26
Husnain Majeed,5,good,2025-03-25 17:18:27
Malik Irfan,5,i love Also pub g moblie,2025-03-25 17:18:25
Angelo Miñao,4,It is a very nice game and beautiful you can also have new friends with this game but you need a high device if you want a better experience 😊,2025-03-25 17:17:57
Mudasir Qayyum,5,amazing game,2025-03-25 17:16:32
Rc_ UMAIR_USA,5,I have played For 4 year Very Nice game graphics are very cool love you pubg mobile,2025-03-25 17:16:24
Godex Star,5,I love you pubg,2025-03-25 17:16:03
Hasan Mustapha,5,I really want to give this game with 10 stars 🌟 but I have one thing I deducted this game should smaller in space and this game is the best 👌 game in the world 🌎 ❤️‍🔥,2025-03-25 17:15:55
RITIK Bhatta,5,op,2025-03-25 17:15:12
Nadeem Akhtar,5,excellent,2025-03-25 17:13:19
R Maxilac,5,best game aver,2025-03-25 17:10:11
RYZAL FARYZAL,5,very nice and good game,2025-03-25 17:08:39
Jadugarlarkaw Onfiire,5,amazing 😍,2025-03-25 17:08:24
ali haidrabadi,5,lovely game,2025-03-25 17:08:06
Subhan Shabbir,5,it i most expensive game in which we can play with our friends,2025-03-25 17:07:55
Farhan ali Lashari,5,best game of world,2025-03-25 17:07:23
Gul Marjan,5,I play for last 5 year but I don't have m416 glacier 🥺😭,2025-03-25 17:07:14
Roresang Dube,5,I loveeeee this game ♥️❤️♥️❤️❤️♥️❤️♥️,2025-03-25 17:06:42
Rakib Ahmeed,5,PUBG MOBILE is the original battle royale game on mobile and one of the best mobile shooting games,2025-03-25 17:06:01
طاهر درويش,5,♥️,2025-03-25 17:05:41
Jannat Tv,5,Awesome game my life my love pubg,2025-03-25 17:05:29
Bilal Hamdard,5,this is my life,2025-03-25 17:03:29
AJ Gaming PK,1,this doesn't support new or learning players .. this game support only pro players and rich people who but lots of UC ... so my review will always be negative,2025-03-25 17:03:01
Talha hussain Talha Hussain,5,PLZZ OLD PUBG GIVE ME BACK,2025-03-25 17:02:56
Alisha King g,5,that is the my favourite thing,2025-03-25 17:02:28
Abobakr Soliman,5,Beast play,2025-03-25 17:00:15
AliAsghar Atashin,5,Good game,2025-03-25 16:59:13
Saqlain Mari Saqlain Mari,5,best game ever,2025-03-25 16:58:28
Nazar,5,пабг очень хорошая игра,2025-03-25 16:57:08
Joker Gaming0.9,5,op,2025-03-25 16:56:17
Sulaiman laiq,5,I like pubg mobile,2025-03-25 16:56:00
Saher Farooq,5,love it ❤️,2025-03-25 16:55:15
m jani,5,nice game❤️❤️🥰🥰,2025-03-25 16:53:47
Bol Bol,5,I love 😘 pubg,2025-03-25 16:53:02
MAX MRK,1,My phone is poco x6pro and it just set on 90 fps why it must be 120 fps i like contact the game service and still no response,2025-03-25 16:52:11
TDM x Error,5,🥺🥺💔 unlucky,2025-03-25 16:51:09
M Adnan,3,I playing pubg since 5 year ago but I don't have the glacier,2025-03-25 16:51:08
RG Ingalla,5,this game is better than others game,2025-03-25 16:51:01
Jelyn Garcia,5,I love pubg,2025-03-25 16:50:59
Thu Zar Shwe,5,good,2025-03-25 16:49:49
Leigh Leukes,5,Amazon gameplay.... had to upgrade my phone to play this game and boooy im not disappointed.....,2025-03-25 16:49:39
Kim joshua Ungab,4,good too me but it lagging it's ok if I lag I still won,2025-03-25 16:49:30
Zafran Zek,5,very good game,2025-03-25 16:48:56
Khan Khan,5,I like pubg mobile,2025-03-25 16:48:19
Hamza Mughal,5,very good game,2025-03-25 16:47:06
Mohamed Aied,5,amazing,2025-03-25 16:47:03
nariman sabr,5,I like pubg mobile,2025-03-25 16:45:36
muhib Rahman,5,this game is not a game its my emotion. i love tis game so much,2025-03-25 16:45:03
Waheed Akhtar,5,This game is my love my time and everything in my life is this 💯👑👍,2025-03-25 16:43:51
Ali Hamza,5,my depreshen and my depreshen medicine 💊 i love it,2025-03-25 16:42:48
Attack Avik,5,BEST,2025-03-25 16:42:25
Umar Zaib,5,pubg mobile my best friend,2025-03-25 16:40:42
Ali Hassan,5,awesome,2025-03-25 16:39:56
Ramon Andrade,5,babaje noice,2025-03-25 16:39:25
Janli Green,5,"This ain't ""Call of booty""this is ""PUBG""now if your into gun shootah type Games,then let's see whatchu got.Think you have what it takes then join us on the battlefield in Ranked mode.......See ya there!",2025-03-25 16:38:05
Muhammad Hamza,5,Mind blowing awesome realistic graphics like a real battle ground me and my cousin love it very much,2025-03-25 16:37:57
Haseebullah Habibi,5,best game in the world 🌎 👌 and want UC 🤣😂😅,2025-03-25 16:36:54
Naamah Kalevala,5,"This is a phenomenal game all around, if your reading this give it a try. you'll be hooked. it really is a quality game. so much customization and it's deeper than just a shooting game",2025-03-25 16:36:28
Arjan Das,5,World Best Game 🎯,2025-03-25 16:35:37
Devraj Kumar,5,one of the best game in the world,2025-03-25 16:35:07
Afif Ramze,5,Play with friend is the most happiest thing ever,2025-03-25 16:34:54
Ghulam Mustafa,5,my favorate game,2025-03-25 16:34:46
Aaban Kamran,5,Best game ever I had played in my life,2025-03-25 16:33:59
Juniel Tañas,5,it's. hard too install but it's worth it,2025-03-25 16:33:06
Ch. Mohsin Sajjad,5,his update like a real nature,2025-03-25 16:32:40
Sarang Solangi,5,PUBG MOBILE IS BEST GAME OF PLAYSOHP,2025-03-25 16:32:39
Sangop Man,5,العشق 🥰♥✨,2025-03-25 16:32:20
Awais Khan,5,I love this game,2025-03-25 16:31:45
Innocentous,5,"i love the gameplay,,, everything is realistic 😉",2025-03-25 16:31:38
Nimesh Kunwar,5,Excellent 👌,2025-03-25 16:30:26
Jesus Regis,1,the problem of this game is the graphics hd graphics or smoth graphics it the same problem.ugly graphics.,2025-03-25 16:29:43
Sami Khan,5,very beautiful game,2025-03-25 16:29:09
Francis,5,awesome the best app I have ever downloaded in my life,2025-03-25 16:28:21
Rana hassaan,5,😍 love,2025-03-25 16:25:22
Ghost Storm,5,wow 😲 Amazing 🤩,2025-03-25 16:24:04
Khan Lala,5,good game,2025-03-25 16:20:45
Darwin Borac,5,so hard but I will play and do my best in this game 💪,2025-03-25 16:20:24
Ahad khan niazi,5,This is My favorite game 🎯,2025-03-25 16:20:06
Azizbek Sagdullayev,1,this is the worst game ever played. why this game is so trash,2025-03-25 16:20:03
shohidul islam,1,it's boring game 😔 FREE FIRE is best game 😎,2025-03-25 16:19:29
Mrs Rana,5,Good game,2025-03-25 16:19:26
Entertainment Video,5,Nice,2025-03-25 16:18:27
Abdullah Mehboob,5,what a game,2025-03-25 16:18:03
Noman M Rafiq,5,This is not just game it is an emotion of every single player 💖 and it gives a lot of fun when playing with strangers or own Friends 😉🥰,2025-03-25 16:17:41
Begari Rahul,5,I love the game,2025-03-25 16:17:25
Rahman Danish,5,good,2025-03-25 16:17:01
geraldino mermer,5,"this game is absolutely amazing,the graphic are smooth🔥",2025-03-25 16:16:28
Jr Dickens,5,Ever since I discovered this game I've been obsessed. One of the best games there is out there.,2025-03-25 16:16:13
Md NILOY Songs,5,i Love this game,2025-03-25 16:15:42
Hassaan Zeb Mirza Mirza,5,the world amazing 😍🤩 game,2025-03-25 16:14:34
Ayan Ali,5,this game is very good,2025-03-25 16:13:41
Muhammad Asif,5,better,2025-03-25 16:12:37
zafar iqbal,5,I AM VERY GLAD THAT BABYMONSTER AND PUBG COLLABRATE ITS NOW MORE INTERESTING TO PLAY I AM ALSO MONTIEZ HEHEH,2025-03-25 16:11:56
Bishal Karki,5,it's a Really good game,2025-03-25 16:11:03
Mohammad Mustafa,5,I love this game,2025-03-25 16:10:54
nobody,3,ok,2025-03-25 16:10:45
Barry Allen,5,awsomeee,2025-03-25 16:07:57
Waraqal Mohammed,5,one of the best 🔥🔥💯❤️ love PUBG Mobile,2025-03-25 16:07:53
Bakallah Khan,4,very good game I love it,2025-03-25 16:07:08
